@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
182,456,52,75,335,0.182927,0.897638,0.858757,0.897638,0.141243,0.877767,0.578431,1.551848,0.441349
183,455,53,75,335,0.182927,0.895669,0.858491,0.895669,0.141509,0.876686,0.577342,1.551367,0.44574
184,454,54,75,335,0.182927,0.893701,0.858223,0.893701,0.141777,0.875603,0.576253,1.550883,0.44797
185,453,55,75,335,0.182927,0.891732,0.857955,0.891732,0.142045,0.874517,0.575163,1.550398,0.451363
186,452,56,75,335,0.182927,0.889764,0.857685,0.889764,0.142315,0.87343,0.574074,1.549911,0.457863
187,451,57,75,335,0.182927,0.887795,0.857414,0.887795,0.142586,0.87234,0.572985,1.549422,0.457916
188,451,57,74,336,0.180488,0.887795,0.859048,0.887795,0.140952,0.873185,0.571895,1.552373,0.458437
189,451,57,73,337,0.178049,0.887795,0.860687,0.887795,0.139313,0.874031,0.570806,1.555336,0.459348
190,451,57,72,338,0.17561,0.887795,0.862333,0.887795,0.137667,0.874879,0.569717,1.55831,0.45944
191,450,58,72,338,0.17561,0.885827,0.862069,0.885827,0.137931,0.873786,0.568627,1.557833,0.462152
192,450,58,71,339,0.173171,0.885827,0.863724,0.885827,0.136276,0.874636,0.567538,1.560823,0.463043
193,448,60,71,339,0.173171,0.88189,0.863198,0.88189,0.136802,0.872444,0.565359,1.559874,0.464493
194,448,60,70,340,0.170732,0.88189,0.864865,0.88189,0.135135,0.873294,0.56427,1.562886,0.467868
195,446,62,70,340,0.170732,0.877953,0.864341,0.877953,0.135659,0.871094,0.562092,1.561939,0.470731
196,445,63,70,340,0.170732,0.875984,0.864078,0.875984,0.135922,0.86999,0.561002,1.561463,0.473443
197,444,64,69,341,0.168293,0.874016,0.865497,0.874016,0.134503,0.869736,0.558824,1.564028,0.478852
198,444,64,68,342,0.165854,0.874016,0.867188,0.874016,0.132813,0.870588,0.557734,1.567083,0.488171
199,444,64,67,343,0.163415,0.874016,0.868885,0.874016,0.131115,0.871443,0.556645,1.57015,0.488486
200,443,65,65,345,0.158537,0.872047,0.872047,0.872047,0.127953,0.872047,0.553377,1.575865,0.489452
201,442,66,65,345,0.158537,0.870079,0.871795,0.870079,0.128205,0.870936,0.552288,1.575409,0.516373
202,440,68,64,346,0.156098,0.866142,0.873016,0.866142,0.126984,0.869565,0.54902,1.577615,0.52518
203,438,70,64,346,0.156098,0.862205,0.87251,0.862205,0.12749,0.867327,0.546841,1.576701,0.525308
204,438,70,63,347,0.153659,0.862205,0.874251,0.862205,0.125749,0.868186,0.545752,1.579848,0.530479
205,437,71,63,347,0.153659,0.860236,0.874,0.860236,0.126,0.867063,0.544662,1.579394,0.550233
206,437,71,62,348,0.15122,0.860236,0.875752,0.860236,0.124248,0.867925,0.543573,1.582559,0.555406
207,436,72,62,348,0.15122,0.858268,0.875502,0.858268,0.124498,0.866799,0.542484,1.582108,0.568382
208,435,73,61,349,0.14878,0.856299,0.877016,0.856299,0.122984,0.866534,0.540305,1.584844,0.575998
209,434,74,61,349,0.14878,0.854331,0.876768,0.854331,0.123232,0.865404,0.539216,1.584395,0.580901
